"Marca temporal","Sexo","Edad","Grado de escolaridad","Años de laborar para la Institución:","Tipo de nombramiento","1. El SINIRUBE cuenta con un equipamiento de aspecto moderno. ","2. Las instalaciones físicas del SINIRUBE son visualmente atractivas. ","3. Los colaboradores del SINIRUBE tienen buena presencia. ","4. Los materiales asociados con los servicios que brinda el SINIRUBE son visualmente atractivos y entendibles.","5. Cuando el SINIRUBE promete hacer algo en una fecha determinada, lo cumple. ","6. Cuando tiene un problema, el SINIRUBE muestra un interés sincero por solucionarlo. ","7. El SINIRUBE lleva a cabo el servicio bien a la primera. ","8. El SINIRUBE lleva a cabo sus servicios en el momento que promete que va a hacerlo. ","9. Los colaboradores del SINIRUBE ponen énfasis en mejorar la atención cuando comenten algún error. ","10. Los colaboradores del SINIRUBE le comunican con exactitud cuándo se llevarán a cabo los servicios. ","11. Los colaboradores del SINIRUBE le proporcionan un servicio rápido. ","12. Los colaboradores del SINIRUBE siempre están anuentes a ayudarle. ","13. Los colaboradores del SINIRUBE nunca están demasiado ocupados para responder a sus preguntas. ","14. El comportamiento de los colaboradores del SINIRUBE le inspira confianza. ","15. Se siente seguro en confiar sus necesidades al SINIRUBE. ","16. Los colaboradores del SINIRUBE suelen ser corteses con usted. ","17. Los colaboradores del SINIRUBE tienen los conocimientos necesarios para contestar a sus preguntas. ","18. El SINIRUBE le proporciona atención individualizada. ","19. El SINIRUBE tiene horarios de atención adecuados para todos sus usuarios institucionales externos. ","20. El SINIRUBE cuenta con unos funcionarios que le proporcionan una atención personalizada. ","21. El SINIRUBE se interesa por actuar del modo más conveniente para usted. ","22. Los funcionarios del SINIRUBE comprenden sus necesidades específicas. ","23. Si Usted tuviera alguna observación o comentario relacionado al cuestionario, favor incluirlo en el siguiente espacio: ",""
"2021/11/21 9:09:06 p. m. GMT-6","Mujer","40 años en adelante","Maestría o Doctorado","4-6 años","Propiedad","4","4","5","5","4","4","3","4","5","3","4","2","2","2","4","3","3","3","3","4","5","3","","3"
"2021/11/21 10:37:02 p. m. GMT-6","Mujer","40 años en adelante","Maestría o Doctorado","1-3 años","Interino","5","5","4","5","3","5","4","3","5","4","4","5","3","4","4","4","5","4","4","4","5","5","","5"
"2021/11/21 10:43:37 p. m. GMT-6","Mujer","40 años en adelante","Licenciatura","1-3 años","Interino","5","5","5","4","3","4","4","3","4","4","3","5","1","5","5","4","4","3","2","2","4","4","",""
"2021/11/22 8:19:45 a. m. GMT-6","Mujer","29-39 años","Licenciatura","11 años en adelante","Propiedad","5","5","5","4","3","5","3","3","4","3","2","5","3","5","4","5","4","4","4","2","4","4","",""
"2021/11/22 9:14:09 a. m. GMT-6","Hombre","29-39 años","Licenciatura","4-6 años","Propiedad","4","4","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","4","5","5","",""
"2021/11/22 9:39:31 a. m. GMT-6","Hombre","29-39 años","Bachiller Universitario","1-3 años","Interino","3","3","3","3","3","3","3","3","3","3","4","4","3","3","3","3","3","3","2","2","3","3","Las preguntas abiertas suelen ser las que menos se usan, pero cuando se usan hay que prestar mucha atención.",""
"2021/11/22 11:30:42 a. m. GMT-6","Mujer","29-39 años","Maestría o Doctorado","4-6 años","Interino","4","5","4","5","2","3","4","3","4","4","4","4","1","4","4","4","4","5","5","5","5","5","",""
"2021/11/22 2:36:43 p. m. GMT-6","Mujer","29-39 años","Bachiller Universitario","1-3 años","Propiedad","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","",""
"2021/11/22 2:40:06 p. m. GMT-6","Hombre","29-39 años","Bachiller Universitario","4-6 años","Propiedad","4","4","5","4","3","5","4","4","5","4","4","5","3","5","4","5","5","4","4","3","5","4","Siempre tratan de dar atención a todas las instituciones",""
"2021/11/22 3:27:42 p. m. GMT-6","Mujer","29-39 años","Bachiller Universitario","4-6 años","Propiedad","4","4","4","3","2","3","3","2","3","4","3","5","5","4","4","4","5","4","3","2","3","3","N/A",""
"2021/11/22 3:29:09 p. m. GMT-6","Hombre","18-28 años","Bachiller Universitario","1-3 años","Interino","4","4","4","4","5","5","5","5","5","4","4","4","2","4","4","4","4","4","4","4","4","4","",""
"2021/11/22 3:37:50 p. m. GMT-6","Mujer","29-39 años","Licenciatura","11 años en adelante","Propiedad","5","4","5","5","2","5","3","2","5","4","5","5","4","5","4","5","5","5","5","5","5","4","Si bien se trata de cumplir con los plazos establecidos para poner a disposición los servicios a la población usuaria, no siempre se cumple más que todo por las cargas laborales que dificultan respetar las fechas determinadas.",""
"2021/11/23 3:15:32 p. m. GMT-6","Hombre","29-39 años","Maestría o Doctorado","1-3 años","Interino","4","5","5","4","3","4","4","4","4","3","3","4","2","5","4","5","5","3","4","3","4","4","NA",""
"2021/11/29 8:54:49 a. m. GMT-6","Mujer","29-39 años","Licenciatura","4-6 años","Interino","1","1","1","1","3","2","2","2","2","2","2","1","3","1","1","1","2","2","1","1","2","2","",""
"2021/11/29 3:12:40 p. m. GMT-6","Hombre","40 años en adelante","Bachiller Universitario","1-3 años","Interino","5","5","5","5","4","4","4","4","5","4","4","5","5","5","5","4","2","3","4","4","5","4","",""
"2021/12/06 1:30:12 p. m. GMT-6","Hombre","29-39 años","Maestría o Doctorado","1-3 años","Interino","3","2","4","2","1","2","3","3","4","3","3","4","1","4","4","4","4","5","1","2","4","4","",""